女の子がキッキッ嬉しそう。	おんなのこがきっきっうれしそお。
ツァツォに旅行した。	つぁつぉにりょこおした。
民衆がテュルリー宮殿に侵入した。	みんしゅうがてゅるりいきゅうでんにしんにゅうした。
ハイチ共和国でトゥーサンルーヴェルテュールが勝利を収められたのは、実際黄熱病のおかげだった。	はいちきょおわこくでとぅうさんるうヴぇるてゅうるがしょおりおおさめられたのわ、じっさいおおねつびょおのおかげだった。
レジャンドルは民衆をテュルリー宮殿に招いた。	れじゃんどるわみんしゅうおてゅるりいきゅうでんにまねえた。
助言はできないとデュパンは言った。	じょげんわできないとでゅぱんわいった。
フランス人シェフと日本人シェフは全然違う。	ふらんすじんしぇふとにほんじんしぇふわぜんぜんちがう。
中国の外交団にアタッシェとして派遣された。	ちゅうごくのがいこおだんにあたっしぇとしてはけんされた。
ファシズム勢力との総力戦に臨む。	ふぁしずむせえりょくとのそおりょくせんにのぞむ。
家具商人のフィシェルは、荷車と仔馬を貸してくれた。	かぐしょおにんのふぃしぇるわ、にぐるまとこうまおかしてくれた。
ローカル路線にはファンも多い。	ろおかるろせんにわふぁんもおおい。
フェイントで相手をかわしてからシュートでフィニッシュした。	ふぇいんとであいておかわしてからしゅうとでふぃにっしゅした。
1877、プフェファーにより浸透現象が発見された。	せんはっぴゃくななじゅうなな、ぷふぇふぁあによりしんとおげんしょおがはっけんされた。
揺れるフェリーに乗るのは私にとって苦行です。	ゆれるふぇりいにのるのわわたしにとってくぎょおです。
ホルロ・アラ・ティタルッフォという特別なお料理も出ました。	ほるろあらてぃたるっふぉとゆうとくべつなおりょおりもでました。
笛の音がなるとウサギのキッドが早速ぴょんと跳ねた。	ふえのおとがなるとうさぎのきっどがさっそくぴょんとはねた。
あの旅客は噂のキャフェに行くようです。	あのりょきゃくわうわさのきゃふぇにいくよおです。
目標は一等賞です。	もくひょおわいっとおしょおです。
ウサギのキッドは気分よくピョン、またピョンと飛び続けた。	うさぎのきっどわきぶんよくぴょん、またぴょんととびつずけた。
アフタヌーンティーを楽しみましょう。	あふたぬうんてぃいおたのしみましょお。
彼女はティピカルなフェミニストです。	かのじょわてぃぴかるなふぇみにすとです。
助手たちとミッツィは探している書類を見つけられなかった。	じょしゅたちとみっつぃわさがしているしょるいおみつけられなかった。
フィレンツェ、パドヴァ、ヴェネツィアはどれもイタリアの都市です。	ふぃれんつぇ、ぱどヴぁ、ヴぇねつぃあわどれもいたりあのとしです。
楽譜に次のように書いてあるのが、エーフェリチェです。	がくふにつぎのよおにかいてあるのが、ええふぇりちぇです。
ショペンハウエルとニーチェの哲学書を本棚から取り出した。	しょぺんはうえるとにいちぇのてつがくしょおほんだなからとりだした。
早速召使い全員に知らせましょう。	さっそくめしつかいぜんいんにしらせましょお。
重い綿入を脱いで、あわせに着替える。	おもいわたいれおぬいで、あわせにきがえる。
ボストンで、とあるチョプスイ屋へ入って夕飯を食った。	ぼすとんで、とあるちょぷすいやえはいってゆうはんおくった。
ろくすっぽ休憩をとらず働いた。	ろくすっぽきゅうけえおとらずはたらいた。
かつて一人で国府に侵入した。	かつてひとりでこくふにしんにゅうした。
だが、今日お前がここへ御入来になったのは、どんなご用なのかな？	だが、きょおおまえがここえごじゅらいになったのわ、どんなごよおなのかな？
サブフランチャイザーを増やして目指せ百店舗。	さぶふらんちゃいざあおふやしてめざせひゃくてんぽ。
四国でお遍路を行脚しよう。	しこくでおへんろおあんぎゃしよお。
いつもの通りギャンギャン泣き出しました。	いつものとおりぎゃんぎゃんなきだしました。
