えっ嘘でしょ。	えっうそでしょ。
シュヴァイツァーは見習うべき人間です。	しゅヴぁいつぁあわみならうべきにんげんです。
デーヴィスさんはとても疲れているように見える。	でえヴぃすさんわとてもつかれているよおにみえる。
スティーヴはジェーンから手紙をもらった。	すてぃいヴわじぇえんからてがみおもらった。
彼女はモーツァルトやベートーヴェンといった、古典派の作曲家が好きだ。	かのじょわもおつぁるとやべえとおヴぇんといった、こてんはのさっきょくかがすきだ。
ストラットフォード・オン・エイヴォンは、シェイクスピアの生まれたところですが、毎年多くの観光客が訪れます。	すとらっとふぉおどおんえいヴぉんわ、しぇいくすぴあのうまれたところですが、まいとしおおくのかんこおきゃくがおとずれます。
彼はピューマを慣らすのに、大いに骨を折った。	かれわぴゅうまおならすのに、おおいにほねおおった。
彼が解雇されるとは妙な話だ。	かれがかいこされるとわみょおなはなしだ。
クリスはヴァンパイア・ナイトを倒した。	くりすわヴぁんぱいあないとおたおした。
彼のあだ名は言い得て妙だよね。	かれのあだなわいいえてみょおだよね。
イタリア旅行で彼は、いくつか景勝の地として有名な都市、例えば、ナポリやフィレンツェを訪れた。	いたりありょこおでかれわ、いくつかけえしょおのちとしてゆうめえなとし、たとえば、なぽりやふぃれんつぇおおとずれた。
ゼロという概念は、ヒンドゥー文化に由来している。	ぜろとゆうがいねんわ、ひんどぅうぶんかにゆらいしている。
そのいたずら娘は何食わぬ顔をした。	そのいたずらむすめわなにくわぬかおおした。
スミスさん、ピエール・デュボワをご紹介しますわ。私の親友なの。	すみすさん、ぴええるでゅぼわおごしょおかいしますわ。わたしのしんゆうなの。
どーすんの、このお店。完ッ全に閑古鳥が鳴いちゃってるじゃない。	どおすんの、このおみせ。かんっぜんにかんこどりがないちゃってるじゃない。
頂上に着くと皆でヤッホーと叫んだ。	ちょおじょおにつくとみんなでやっほおとさけんだ。
あっベルが鳴ってる。	あっべるがなってる。
彼女は彼にぴょこんとおじぎをした。	かのじょわかれにぴょこんとおじぎおした。
男子生徒のめいめいが、帽子に学校のバッジをつけています。	だんしせえとのめえめえが、ぼおしにがっこおのばっじおつけています。
ヒューズが飛んだ。	ひゅうずがとんだ。
私はポピュラー音楽を聞きたい。	わたしわぽぴゅらあおんがくおききたい。
